id,name,country,weapon,gender,points,date,level,hand,height,rank,flag,image
39105,KOCH Mate Tamas,HUNGARY,E,M,191.000,1999-09-17,S,R,,1,HUN,https://static.fie.org/uploads/20/103003-Koch%20M%C3%A1t%C3%A92.jpg
30081,SIKLOSI Gergely,HUNGARY,E,M,176.000,1997-09-04,S,R,,2,HUN,https://static.fie.org/uploads/21/107490-Gergely%20SIKL%C3%93SI.jpg
34385,KANO Koki,JAPAN,E,M,169.000,1997-12-19,S,R,,3,JPN,https://static.fie.org/uploads/31/158000-JPN_ATHLETE_KANO_KOKI_2023.jpg

20488,MINOBE Kazuyasu,JAPAN,E,M,101.000,1987-07-15,S,L,,9,JPN,https://static.fie.org/uploads/22/112458-JPN_ATHLETE_MINOBE_KAZUYASU.png
22285,KURBANOV Ruslan,KAZAKHSTAN,E,M,100.000,1991-09-17,S,R,,10,KAZ,https://static.fie.org/uploads/18/92096-FullSizeRender.jpg
10222,LIMARDO GASCON Ruben,VENEZUELA,E,M,98.000,1985-08-03,S,L,183,11,VEN,https://static.fie.org/uploads/7/39157-LIMARDO-GASCON-Ruben.jpg
24408,YAMADA Masaru,JAPAN,E,M,95.000,1994-06-14,S,R,,12,JPN,https://static.fie.org/uploads/31/159140-JPN_ATHLETE_YAMADA_Masaru.jpg
46290,ELSAYED Mohamed,EGYPT,E,M,93.500,2003-03-03,S,R,,13,EGY,https://static.fie.org/uploads/26/133526-mohamed%20elsayed%20samy1.jpeg
40234,WANG Zijie,CHINA,E,M,82.000,1996-07-15,S,L,,14,CHN,https://static.fie.org/uploads/22/110952-.jpg
17748,BARDENET Alexandre,FRANCE,E,M,80.000,1990-05-26,S,R,,15,FRA,https://static.fie.org/uploads/8/44490-EHS%20BARDENET%20Alexandre%20%282%29.jpg
48895,YASSEEN Mohamed,EGYPT,E,M,79.000,2004-01-05,S,L,,16,EGY,https://static.fie.org/uploads/26/133529-mohamed%20mahmoud%20yassin%20j.jpeg
48114,YU Lefan,CHINA,E,M,73.000,1998-08-22,S,R,,17,CHN,https://static.fie.org/uploads/31/158544-%E4%BF%9E%E4%B9%90%E5%87%A11.jpg
21208,RODRIGUEZ John Edison,COLOMBIA,E,M,72.000,1991-01-24,S,L,,18,COL,https://static.fie.org/uploads/22/110013-Jhon-Edison-Rodr--guez-1.jpg
45133,LOYOLA Neisser,BELGIUM,E,M,71.000,1998-07-28,S,R,,19,BEL,https://static.fie.org/uploads/31/155805-IMG-20230522-WA0003.jpg
34396,KOMATA Akira,JAPAN,E,M,70.000,1998-01-31,S,R,,20,JPN,https://static.fie.org/uploads/31/159955-JPN_ATHLETE_KOMATA_Akira.jpg
