Rank,Points,Name,Country,Hand,Age,Category,Scrape_Date,id
1,206.000,ITKIN Nick,USA,R,24,Foil_Men_Senior,2024-06-27 03:18:24,1
2,191.000,CHEUNG Ka Long,"HONG KONG, CHINA",L,27,Foil_Men_Senior,2024-06-27 03:18:24,2
3,190.000,MARINI Tommaso,ITALY,R,24,Foil_Men_Senior,2024-06-27 03:18:24,3
4,186.000,HAMZA Mohamed,EGYPT,L,23,Foil_Men_Senior,2024-06-27 03:18:24,4
5,186.000,LEFORT Enzo,FRANCE,R,32,Foil_Men_Senior,2024-06-27 03:18:24,5
6,148.000,MACCHI Filippo,ITALY,L,22,Foil_Men_Senior,2024-06-27 03:18:24,6
7,139.000,MATSUYAMA Kyosuke,JAPAN,L,27,Foil_Men_Senior,2024-06-27 03:18:24,7
8,138.000,BIANCHI Guillaume,ITALY,R,26,Foil_Men_Senior,2024-06-27 03:18:24,8
9,134.000,MASSIALAS Alexander,USA,R,30,Foil_Men_Senior,2024-06-27 03:18:24,9
10,126.000,MEINHARDT Gerek,USA,R,33,Foil_Men_Senior,2024-06-27 03:18:24,10
11,115.000,MO Ziwei,CHINA,R,27,Foil_Men_Senior,2024-06-27 03:18:24,11
12,115.000,IIMURA Kazuki,JAPAN,R,20,Foil_Men_Senior,2024-06-27 03:18:24,12
13,110.000,LLAVADOR Carlos,SPAIN,L,32,Foil_Men_Senior,2024-06-27 03:18:24,13
14,110.000,CHOUPENITCH Alexander,CZECHIA,R,30,Foil_Men_Senior,2024-06-27 03:18:24,14
15,106.000,FOCONI Alessio,ITALY,R,34,Foil_Men_Senior,2024-06-27 03:18:24,15
16,96.000,DOSA Daniel,HUNGARY,L,28,Foil_Men_Senior,2024-06-27 03:18:24,16
17,88.000,HA Taegyu,KOREA,L,34,Foil_Men_Senior,2024-06-27 03:18:24,17
18,86.000,SAVIN Rafael,FRANCE,R,23,Foil_Men_Senior,2024-06-27 03:18:24,18
19,76.000,CHOI Chun Yin Ryan,"HONG KONG, CHINA",L,26,Foil_Men_Senior,2024-06-27 03:18:24,19
20,67.000,GAROZZO Daniele,ITALY,R,31,Foil_Men_Senior,2024-06-27 03:18:24,20
21,64.000,LUPERI Edoardo,ITALY,L,30,Foil_Men_Senior,2024-06-27 03:18:24,21
22,64.000,LEE Kwanghyun,KOREA,R,30,Foil_Men_Senior,2024-06-27 03:18:24,22
23,64.000,CHAMLEY-WATSON Miles,USA,R,34,Foil_Men_Senior,2024-06-27 03:18:24,23
24,61.000,TOLBA Abdelrahman,EGYPT,R,16,Foil_Men_Senior,2024-06-27 03:18:24,24
25,56.000,CHEN Haiwei,CHINA,L,29,Foil_Men_Senior,2024-06-27 03:18:24,25
26,54.000,LOMBARDI Giulio,ITALY,L,21,Foil_Men_Senior,2024-06-27 03:18:24,26
27,53.000,SHIKINE Takahiro,JAPAN,R,26,Foil_Men_Senior,2024-06-27 03:18:24,27
28,53.000,NAGANO Yudai,JAPAN,R,25,Foil_Men_Senior,2024-06-27 03:18:24,28
29,52.500,ABOUELKASSEM AlaaEldin,EGYPT,L,33,Foil_Men_Senior,2024-06-27 03:18:24,29
30,50.000,TOLDO Guilherme,BRAZIL,L,31,Foil_Men_Senior,2024-06-27 03:18:24,30
31,48.000,KAHL Alexander,GERMANY,R,30,Foil_Men_Senior,2024-06-27 03:18:24,31
32,45.500,VAN HAASTER Maximilien,CANADA,R,32,Foil_Men_Senior,2024-06-27 03:18:24,32
33,42.875,YEUNG Chi Ka,"HONG KONG, CHINA",R,29,Foil_Men_Senior,2024-06-27 03:18:24,33
34,42.500,SIESS Michal,POLAND,R,30,Foil_Men_Senior,2024-06-27 03:18:24,34
35,40.000,HEO Jun,KOREA,R,36,Foil_Men_Senior,2024-06-27 03:18:24,35
36,40.000,FILIPPI Davide,ITALY,R,26,Foil_Men_Senior,2024-06-27 03:18:24,36
37,40.000,DE GREEF Stef,BELGIUM,L,26,Foil_Men_Senior,2024-06-27 03:18:24,37
38,39.000,WINTERBERG-POULSEN Jonas,DENMARK,L,23,Foil_Men_Senior,2024-06-27 03:18:24,38
39,38.750,HASSAN Mohamed,EGYPT,R,26,Foil_Men_Senior,2024-06-27 03:18:24,39
40,38.000,ARCHER Kristjan,GREAT BRITAIN,L,30,Foil_Men_Senior,2024-06-27 03:18:24,40
41,38.000,XU Jie,CHINA,R,22,Foil_Men_Senior,2024-06-27 03:18:24,41
42,37.500,PAUTY Maxime,FRANCE,R,31,Foil_Men_Senior,2024-06-27 03:18:24,42
43,34.500,DAVIS James-Andrew,GREAT BRITAIN,L,32,Foil_Men_Senior,2024-06-27 03:18:24,43
44,32.000,CHOI Nicholas Edward,"HONG KONG, CHINA",R,31,Foil_Men_Senior,2024-06-27 03:18:24,44
45,31.750,AVOLA Giorgio,ITALY,R,35,Foil_Men_Senior,2024-06-27 03:18:24,45
46,31.125,CERVANTES Diego,MEXICO,R,23,Foil_Men_Senior,2024-06-27 03:18:24,46
47,31.000,RAJSKI Leszek,POLAND,R,40,Foil_Men_Senior,2024-06-27 03:18:24,47
48,31.000,LOISEL Pierre,FRANCE,R,26,Foil_Men_Senior,2024-06-27 03:18:24,48
49,30.500,EDIRI Alexandre,FRANCE,R,26,Foil_Men_Senior,2024-06-27 03:18:24,49
50,30.000,DI VEROLI Damiano,ITALY,R,21,Foil_Men_Senior,2024-06-27 03:18:24,50
51,29.500,CHEN Andrew,USA,L,18,Foil_Men_Senior,2024-06-27 03:18:24,51
52,29.000,RZADKOWSKI Andrzej,POLAND,R,27,Foil_Men_Senior,2024-06-27 03:18:24,52
53,28.500,BORODACHEV Kirill,_AIN,L,24,Foil_Men_Senior,2024-06-27 03:18:24,53
54,28.000,BABA Shunsuke,JAPAN,L,21,Foil_Men_Senior,2024-06-27 03:18:24,54
55,27.750,HEROUI Salim,ALGERIA,L,25,Foil_Men_Senior,2024-06-27 03:18:24,55
56,27.000,MEPSTEAD Marcus,GREAT BRITAIN,R,34,Foil_Men_Senior,2024-06-27 03:18:24,56
57,26.250,CHEN Yi-Tung,CHINESE TAIPEI,R,21,Foil_Men_Senior,2024-06-27 03:18:24,57
